,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-08 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-09 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-13 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-14 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-15 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-16 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-17 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-19 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-21 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-22 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-23 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-24 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-25 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-27 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-28 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-29 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-03 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-04 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-05 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-06 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-10 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00,2020-04-11 00:00:00
Cabo Verde,0,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,0,0,0,24,0,0,0,0,33,0,0,0,0,44,0,0,0,0,55,0,0,0,0,63,0,0,0,0,71,0,0,0,0,85,0,0,0,0,93,0,0,0,0,106,1,0,0,1,118,4,0,0,4,157,3,0,0,3,162,3,0,0,3,166,3,1,0,2,181,4,1,0,3,194,4,1,0,3,207,5,1,0,4,231,5,1,0,4,242,6,1,0,5,251,6,1,0,5,262,6,1,0,5,272,6,1,0,5,298,6,1,0,5,306,6,1,0,5,311,7,1,0,6,332,7,1,0,6,339,7,1,1,5,352,7,1,1,5,369,7,1,1,5,376,7,1,1,5,391,7,1,1,5,403,8,1,1,6,424
Costa Rica,5,0,0,5,2347,9,0,0,9,5695,9,0,0,9,9078,13,0,0,13,12548,22,0,0,22,14772,23,0,0,23,16873,26,0,0,26,18909,27,0,0,27,21502,35,0,0,35,24527,41,0,0,41,27290,50,0,0,50,29589,69,1,0,68,31990,89,1,0,88,34520,117,2,2,113,36795,134,2,2,130,38499,158,2,2,154,40205,177,2,2,173,42253,201,2,2,197,44145,231,2,2,227,45973,263,2,3,258,47886,295,2,3,290,49743,314,2,3,309,51427,330,2,4,324,53230,347,2,4,341,55176,375,2,4,369,57035,396,2,6,388,58849,416,2,11,403,60587,435,2,13,420,62298,454,2,16,436,63936,467,2,18,447,65927,483,2,24,457,67949,502,3,29,470,69905,539,3,30,506,71854,558,3,42,513,73737,577,3,49,525,75462
Cuba,0,0,0,0,1475,0,0,0,0,3876,0,0,0,0,6770,0,0,0,0,8861,3,0,0,3,10951,4,0,0,4,12688,4,0,0,4,14309,4,0,0,4,15908,4,0,0,4,18321,5,0,0,5,21350,7,1,0,6,24825,11,1,0,10,27581,16,1,0,15,31602,21,1,0,20,35078,35,1,0,34,38057,40,1,0,39,41300,48,1,1,46,44554,57,1,1,55,47867,67,2,1,64,51804,80,2,4,74,55674,119,3,4,112,60266,139,3,4,132,64054,170,4,4,162,67888,186,6,8,172,71698,212,6,12,194,76110,233,6,13,214,80954,269,6,15,248,85434,288,6,15,267,90428,320,8,15,297,93942,350,9,18,323,98546,396,11,27,358,103097,457,12,27,418,107887,515,15,28,472,112134,564,15,51,498,116456,620,16,77,527,121384
Curaçao,0,0,0,0,55,0,0,0,0,78,0,0,0,0,119,0,0,0,0,143,0,0,0,0,192,0,0,0,0,237,0,0,0,0,279,0,0,0,0,309,0,0,0,0,366,0,0,0,0,406,0,0,0,0,446,0,0,0,0,496,0,0,0,0,537,0,0,0,0,590,0,0,0,0,616,0,0,0,0,665,0,0,0,0,710,0,0,0,0,750,0,0,0,0,796,0,0,0,0,850,0,0,0,0,900,0,0,0,0,966,0,0,0,0,1020,0,0,0,0,1071,0,0,0,0,1106,0,0,0,0,1152,0,0,0,0,1219,0,0,0,0,1286,0,0,0,0,1321,0,0,0,0,1359,0,0,0,0,1425,0,0,0,0,1472,0,0,0,0,1509,0,0,0,0,1581,0,0,0,0,1639
Christmas Island,0,0,0,0,32,0,0,0,0,51,0,0,0,0,72,0,0,0,0,89,0,0,0,0,105,0,0,0,0,123,0,0,0,0,132,0,0,0,0,141,0,0,0,0,150,0,0,0,0,178,0,0,0,0,200,0,0,0,0,225,0,0,0,0,247,0,0,0,0,262,0,0,0,0,276,0,0,0,0,288,0,0,0,0,309,0,0,0,0,322,0,0,0,0,329,0,0,0,0,349,0,0,0,0,363,0,0,0,0,384,0,0,0,0,398,0,0,0,0,410,0,0,0,0,419,0,0,0,0,437,0,0,0,0,461,0,0,0,0,480,0,0,0,0,498,0,0,0,0,519,0,0,0,0,544,0,0,0,0,570,0,0,0,0,587,0,0,0,0,600,0,0,0,0,626
Cayman Islands,0,0,0,0,121,0,0,0,0,210,0,0,0,0,345,0,0,0,0,484,0,0,0,0,622,1,0,0,1,753,1,0,0,1,862,1,0,0,1,956,1,0,0,1,1065,1,0,0,1,1174,1,0,0,1,1279,1,0,0,1,1360,1,0,0,1,1438,1,0,0,1,1514,1,0,0,1,1592,1,0,0,1,1689,1,0,0,1,1782,1,0,0,1,1935,1,0,0,1,2084,1,0,0,1,2240,1,0,0,1,2361,1,0,0,1,2535,1,0,0,1,2647,1,0,0,1,2785,1,0,0,1,2900,1,0,0,1,3019,1,0,0,1,3149,1,0,0,1,3255,1,0,0,1,3370,1,0,0,1,3482,1,0,0,1,3566,1,0,0,1,3659,1,0,0,1,3776,1,0,0,1,3857,1,0,0,1,3954
Cyprus,0,0,0,0,387,2,0,0,2,888,3,0,0,3,1584,6,0,0,6,2174,6,0,0,6,2661,14,0,0,14,3102,26,0,0,26,3596,26,0,0,26,4144,33,0,0,33,4680,46,0,0,46,5173,49,0,0,49,5661,67,0,0,67,6207,67,0,0,67,6694,84,0,0,84,7137,95,1,3,91,7580,116,1,3,112,8141,124,3,3,118,8704,132,3,3,126,9208,146,3,4,139,9696,162,5,15,142,10259,179,5,15,159,10783,214,5,15,194,11352,230,7,22,201,11892,262,8,23,231,12350,320,9,28,283,12892,356,10,28,318,13531,396,11,28,357,14083,426,11,33,382,14579,446,9,37,400,15160,465,9,45,411,15809,494,9,47,438,16449,526,9,52,465,17082,564,10,53,501,17657,595,10,58,527,18238,616,10,61,545,18791
Czechia,31,0,0,31,571,31,0,0,31,1000,41,0,0,41,1571,91,0,0,91,2099,94,0,0,94,2546,141,0,0,141,2872,189,0,0,189,3252,253,0,0,253,3672,298,0,3,295,4056,396,0,3,393,4466,464,0,3,461,4836,694,0,3,691,5235,833,0,4,829,5588,995,0,6,989,5987,1120,1,6,1113,6380,1236,1,7,1228,6781,1394,3,10,1381,7135,1654,6,10,1638,7465,1925,9,10,1906,7844,2279,9,11,2259,8250,2631,11,11,2609,8636,2817,16,11,2790,9090,3001,23,25,2953,9539,3308,31,45,3232,9972,3508,39,61,3408,10405,3858,44,67,3747,10792,4091,53,72,3966,11224,4472,59,78,4335,11649,4587,67,96,4424,12120,4822,78,121,4623,12614,5017,88,172,4757,13073,5312,99,233,4980,13455,5569,112,301,5156,13888,5732,119,346,5267,14222,5831,129,411,5291,14594
Germany,1040,0,18,1022,17459,1176,2,18,1156,34368,1457,2,18,1437,50868,1908,3,25,1880,68988,2078,3,25,2050,83538,3675,7,46,3622,96651,4585,9,46,4530,112375,5795,11,46,5738,131370,7272,17,67,7188,147384,9257,24,67,9166,164597,12327,28,105,12194,181367,15320,44,113,15163,198091,19848,67,180,19601,214743,22213,84,233,21896,229103,24873,94,266,24513,244901,29056,123,453,28480,258903,32986,157,3243,29586,271903,37323,206,3547,33570,284872,43938,267,5673,37998,298479,50871,342,6658,43871,312377,57695,433,8481,48781,326763,62095,533,9211,52351,341029,66885,645,13500,52740,355194,71808,775,16100,54933,369040,77872,920,18700,58252,382499,84794,1107,22440,61247,395519,91159,1275,24575,65309,409912,96092,1444,26400,68248,423493,100123,1584,28700,69839,437009,103374,1810,28700,72864,450760,107663,2016,36081,69566,465120,113296,2349,46300,64647,478721,118181,2607,52407,63167,492605,122171,2767,53913,65491,506485,124908,2736,57400,64772,519582
Djibouti,0,0,0,0,54,0,0,0,0,103,0,0,0,0,162,0,0,0,0,229,0,0,0,0,293,0,0,0,0,352,0,0,0,0,414,0,0,0,0,491,0,0,0,0,559,0,0,0,0,631,1,0,0,1,732,1,0,0,1,795,1,0,0,1,853,1,0,0,1,919,1,0,0,1,983,3,0,0,3,1086,3,0,0,3,1188,11,0,0,11,1271,11,0,0,11,1351,12,0,0,12,1428,14,0,0,14,1539,18,0,0,18,1651,18,0,0,18,1745,30,0,0,30,1863,33,0,0,33,1971,40,0,0,40,2067,49,0,8,41,2199,50,0,8,42,2376,59,0,9,50,2500,90,0,9,81,2614,90,0,9,81,2743,135,0,25,110,2865,135,0,25,110,3023,150,1,36,113,3124,187,2,36,149,3214
Dominica,0,0,0,0,2728,0,0,0,0,5072,0,0,0,0,7011,0,0,0,0,8781,0,0,0,0,10812,0,0,0,0,12580,0,0,0,0,14509,0,0,0,0,16368,0,0,0,0,18250,0,0,0,0,21047,0,0,0,0,24365,0,0,0,0,27544,0,0,0,0,31157,0,0,0,0,34281,1,0,0,1,37643,2,0,0,2,41224,2,0,0,2,44561,7,0,0,7,48061,11,0,0,11,51523,11,0,0,11,54822,11,0,0,11,57857,11,0,0,11,60804,11,0,0,11,64156,12,0,0,12,66980,12,0,0,12,69994,12,0,0,12,73478,12,0,0,12,76426,14,0,0,14,79675,14,0,0,14,83055,15,0,1,14,86327,15,0,1,14,89843,15,0,1,14,93130,15,0,1,14,96339,16,0,5,11,99461,16,0,5,11,102585
Denmark,35,0,1,34,2077,90,0,1,89,3697,262,0,1,261,5421,444,0,1,443,7578,617,0,1,616,9128,804,0,1,803,10442,836,1,1,834,11821,875,2,1,872,13385,932,3,1,928,14779,1024,4,1,1019,16084,1115,4,1,1110,17443,1225,6,1,1218,18840,1337,9,1,1327,20092,1420,13,1,1406,21244,1514,13,1,1500,22532,1572,24,24,1524,23775,1718,32,36,1650,25078,1862,34,41,1787,26339,2023,41,50,1932,27681,2200,52,57,2091,28983,2366,65,57,2244,30334,2564,72,73,2419,31967,2755,77,73,2605,33433,3039,90,77,2872,34750,3290,104,971,2215,35988,3573,123,1172,2278,37260,3946,139,1287,2520,38627,4269,161,1379,2729,39963,4561,179,1429,2953,41127,4875,187,1489,3199,42546,5266,203,1621,3442,43940,5597,218,1763,3616,45446,5830,237,1883,3710,46862,6014,247,1929,3838,48377,6191,260,2111,3820,49598
Dominican Republic,5,0,0,5,147,5,0,0,5,248,5,0,0,5,346,5,0,0,5,438,5,0,0,5,539,5,0,0,5,618,11,0,0,11,683,11,0,0,11,780,11,0,0,11,854,21,1,0,20,959,21,1,0,20,1072,34,2,0,32,1208,72,2,0,70,1353,112,2,0,110,1512,202,3,0,199,1646,245,3,3,239,1771,312,6,3,303,1915,392,10,3,379,2069,488,10,3,475,2204,581,20,3,558,2358,719,28,3,688,2503,859,39,3,817,2614,901,42,4,855,2772,1109,51,5,1053,2880,1284,57,9,1218,3018,1380,60,16,1304,3181,1488,68,16,1404,3303,1488,68,16,1404,3445,1745,82,17,1646,3588,1828,86,33,1709,3720,1956,98,36,1822,3853,2111,108,50,1953,3967,2349,118,80,2151,4136,2620,126,98,2396,4250,2759,135,108,2516,4390
Algeria,19,0,0,19,357,20,0,0,20,674,20,0,0,20,1049,20,0,0,20,1314,24,1,8,15,1665,26,2,8,16,1981,37,3,12,22,2428,48,4,12,32,2936,54,4,12,38,3427,60,4,12,44,3958,74,7,12,55,4441,87,9,32,46,4965,90,11,32,47,5488,139,15,32,92,6049,201,17,65,119,6540,230,17,65,148,6995,264,19,24,221,7418,302,21,65,216,7808,367,25,29,313,8201,409,26,29,354,8619,454,29,31,394,9083,511,31,31,449,9537,584,35,37,512,9994,716,44,46,626,10462,847,58,61,728,10840,986,86,61,839,11254,1171,105,62,1004,11755,1251,130,90,1031,12238,1320,152,90,1078,12735,1423,173,90,1160,13126,1468,193,113,1162,13571,1572,205,237,1130,13973,1666,235,347,1084,14361,1761,256,405,1100,14697,1825,275,460,1090,15100
Ecuador,14,0,0,14,8708,15,0,0,15,19302,15,0,0,15,33522,17,0,0,17,46234,17,0,0,17,57541,17,0,0,17,66933,28,2,0,26,80593,28,2,0,26,98145,37,2,0,35,115925,58,2,0,56,133618,111,2,0,109,150029,199,3,0,196,166045,367,5,0,362,180941,506,7,3,496,198814,789,14,3,772,215460,981,18,3,960,232373,1082,27,3,1052,248359,1173,28,3,1142,265466,1403,34,3,1366,283204,1595,36,3,1556,300863,1823,48,3,1772,316793,1924,58,3,1863,333352,1962,60,3,1899,351374,2240,75,54,2111,368223,2748,93,58,2597,387690,3163,120,65,2978,408432,3368,145,65,3158,427510,3465,172,100,3193,449483,3646,180,100,3366,466230,3747,191,100,3456,483501,3747,191,100,3456,498236,4450,242,140,4068,513168,4965,272,339,4354,530088,7161,297,368,6496,548262,7257,315,411,6531,564654
Egypt,49,1,1,47,2246,55,1,12,42,4490,59,1,1,57,6627,60,1,27,32,9027,67,1,27,39,10817,80,2,27,51,12659,109,2,27,80,14562,110,2,21,87,16901,150,2,27,121,18904,196,4,32,160,21059,196,6,32,158,23143,256,6,32,218,25137,285,8,39,238,27314,294,10,41,243,29424,327,14,56,257,31494,366,19,68,279,33551,402,20,80,302,35440,456,21,95,340,37064,495,24,102,369,38967,536,30,116,390,40993,576,36,121,419,42858,609,40,132,437,44569,656,41,150,465,46435,710,46,157,507,48146,779,52,179,548,49869,865,58,201,606,51623,985,66,216,703,53370,1070,71,241,758,55376,1173,78,247,848,57079,1322,85,259,978,58859,1450,94,276,1080,60858,1560,103,305,1152,62661,1699,118,348,1233,64389,1794,135,384,1275,66191,1939,146,426,1367,68196
Eritrea,0,0,0,0,34,0,0,0,0,60,0,0,0,0,82,0,0,0,0,109,0,0,0,0,122,0,0,0,0,149,0,0,0,0,170,0,0,0,0,185,0,0,0,0,209,0,0,0,0,236,0,0,0,0,258,0,0,0,0,287,0,0,0,0,308,1,0,0,1,342,1,0,0,1,382,1,0,0,1,413,1,0,0,1,458,4,0,0,4,485,6,0,0,6,523,6,0,0,6,568,6,0,0,6,611,12,0,0,12,657,12,0,0,12,698,15,0,0,15,724,15,0,0,15,753,22,0,0,22,785,22,0,0,22,823,29,0,0,29,868,29,0,0,29,897,31,0,0,31,922,31,0,0,31,940,33,0,0,33,966,33,0,0,33,1004,34,0,0,34,1037,34,0,0,34,1058
Western Sahara,0,0,0,0,8,0,0,0,0,22,0,0,0,0,34,0,0,0,0,42,0,0,0,0,50,0,0,0,0,59,0,0,0,0,68,0,0,0,0,83,0,0,0,0,100,0,0,0,0,109,0,0,0,0,121,0,0,0,0,137,0,0,0,0,157,0,0,0,0,175,0,0,0,0,190,0,0,0,0,206,0,0,0,0,244,0,0,0,0,267,0,0,0,0,297,0,0,0,0,317,0,0,0,0,336,0,0,0,0,358,0,0,0,0,368,0,0,0,0,395,0,0,0,0,415,0,0,0,0,434,0,0,0,0,462,0,0,0,0,490,4,0,0,4,494,4,0,0,4,515,4,0,0,4,532,4,0,0,4,562,4,0,0,4,593,4,0,0,4,611,4,0,0,4,627
Spain,673,17,30,626,59083,1073,28,32,1013,133379,1695,35,32,1628,262353,2277,54,183,2040,367290,2277,55,183,2039,463408,5232,133,193,4906,535761,6391,195,517,5679,616152,7798,289,517,6992,693277,9942,342,530,9070,760235,11748,533,1028,10187,824173,13910,623,1081,12206,888439,17963,830,1107,16026,947225,20410,1043,1588,17779,1010967,25374,1375,2125,21874,1079379,28768,1772,2575,24421,1138068,35136,2311,3355,29470,1193323,39885,2808,3794,33283,1252888,49515,3647,5367,40501,1314353,57786,4365,7015,46406,1377036,65719,5138,9357,51224,1439174,73235,5982,12285,54968,1499839,80110,6803,14709,58598,1559792,87956,7716,16780,63460,1624249,95923,8464,19259,68200,1685571,104118,9387,22647,72084,1743225,112065,10348,26743,74974,1803298,119199,11198,30513,77488,1870192,126168,11947,34219,80002,1929361,131646,12641,38080,80925,1991262,136675,13341,40437,82897,2058407,141942,14045,43208,84689,2127815,148220,14792,48021,85407,2195135,153222,15447,52165,85610,2258414,158273,16081,55668,86524,2322591,163027,16606,59109,87312,2383155
Estonia,10,0,0,10,272,10,0,0,10,601,12,0,0,12,890,16,0,0,16,1194,16,0,0,16,1429,79,0,0,79,1684,115,0,0,115,1916,171,0,1,170,2178,205,0,1,204,2415,225,0,1,224,2688,258,0,1,257,2928,267,0,1,266,3151,283,0,1,282,3413,306,0,1,305,3616,326,0,2,324,3804,352,0,4,348,4009,369,0,7,362,4225,404,1,8,395,4446,538,1,8,529,4690,575,1,11,563,4942,645,1,20,624,5111,679,3,20,656,5322,715,3,20,692,5561,745,4,26,715,5769,779,5,33,741,5968,858,11,45,802,6265,961,12,48,901,6482,1039,13,59,967,6622,1097,15,62,1020,6807,1108,19,62,1027,7049,1149,21,69,1059,7260,1185,24,72,1089,7485,1207,24,83,1100,7712,1258,24,93,1141,7891,1304,24,93,1187,8091
Ethiopia,0,0,0,0,226,0,0,0,0,486,0,0,0,0,746,0,0,0,0,1045,0,0,0,0,1254,1,0,0,1,1595,1,0,0,1,1866,1,0,0,1,2218,5,0,0,5,2734,5,0,0,5,3125,6,0,0,6,3479,6,0,0,6,3871,9,0,0,9,4306,9,0,0,9,4771,11,0,4,7,5187,11,0,0,11,5696,12,0,0,12,6145,12,0,0,12,6620,12,0,0,12,7111,16,0,0,16,7671,16,0,1,15,8210,21,0,1,20,8782,23,0,4,19,9352,26,0,2,24,9815,29,0,2,27,10255,29,0,3,26,10675,35,0,3,32,11166,38,0,4,34,11683,43,2,4,37,12329,44,2,4,38,12944,52,2,4,46,13585,55,2,4,49,14443,56,2,4,50,15186,65,3,4,58,15805,69,3,10,56,16399
Finland,23,0,1,22,1641,30,0,1,29,3210,40,0,1,39,4682,59,0,1,58,6353,59,0,1,58,7986,155,0,1,154,9420,225,0,1,224,10936,244,0,10,234,12775,277,0,10,267,14535,321,0,10,311,15986,336,0,10,326,17477,400,0,10,390,18948,450,0,10,440,20396,523,1,10,512,21981,626,1,10,615,23507,700,1,10,689,25106,792,1,10,781,26549,880,3,10,867,28144,958,5,10,943,29551,1041,7,10,1024,31005,1167,9,10,1148,32556,1240,11,10,1219,34081,1352,13,10,1329,35842,1418,17,10,1391,37615,1446,17,10,1419,38992,1518,19,300,1199,40574,1615,20,300,1295,42099,1882,25,300,1557,43598,1927,28,300,1599,45084,2176,27,300,1849,46756,2308,34,300,1974,48453,2487,40,300,2147,50046,2605,42,300,2263,51592,2769,48,300,2421,53191,2905,49,300,2556,54653
Fiji,0,0,0,0,236,0,0,0,0,399,0,0,0,0,577,0,0,0,0,789,0,0,0,0,969,0,0,0,0,1097,0,0,0,0,1261,0,0,0,0,1450,0,0,0,0,1663,0,0,0,0,1924,0,0,0,0,2163,1,0,0,1,2669,1,0,0,1,3008,1,0,0,1,3430,2,0,0,2,3738,3,0,0,3,4264,4,0,0,4,4763,5,0,0,5,5227,5,0,0,5,5636,5,0,0,5,5942,5,0,0,5,6327,5,0,0,5,6797,5,0,0,5,7166,5,0,0,5,7543,5,0,0,5,7858,7,0,0,7,8385,7,0,0,7,8754,12,0,0,12,9420,12,0,0,12,9831,14,0,0,14,10397,15,0,0,15,10953,15,0,0,15,11371,15,0,0,15,11837,16,0,0,16,12272,16,0,0,16,12728
Falkland Islands (Malvinas),0,0,0,0,6,0,0,0,0,13,0,0,0,0,22,0,0,0,0,32,0,0,0,0,36,0,0,0,0,41,0,0,0,0,46,0,0,0,0,50,0,0,0,0,51,0,0,0,0,60,0,0,0,0,67,0,0,0,0,76,0,0,0,0,79,0,0,0,0,84,0,0,0,0,87,0,0,0,0,92,0,0,0,0,101,0,0,0,0,115,0,0,0,0,119,0,0,0,0,127,0,0,0,0,134,0,0,0,0,144,0,0,0,0,155,0,0,0,0,163,0,0,0,0,168,0,0,0,0,174,0,0,0,0,189,0,0,0,0,203,0,0,0,0,210,0,0,0,0,223,0,0,0,0,238,0,0,0,0,249,0,0,0,0,265,0,0,0,0,271,0,0,0,0,276
France,1126,19,12,1095,74247,1211,19,12,1180,147959,1784,33,12,1739,221380,2284,48,12,2224,285573,2284,48,12,2224,355020,3668,79,12,3577,414193,4481,91,12,4378,486707,4516,91,12,4413,579172,6657,148,12,6497,676129,7702,148,12,7542,769041,9082,148,12,8922,851472,10922,243,12,10667,938298,12683,450,12,12221,1017694,14368,562,12,13794,1093476,16111,674,2200,13237,1161146,20123,862,2207,17054,1222660,22622,1102,3288,18232,1288304,25600,1333,3907,20360,1353653,29551,1698,4955,22898,1413145,33402,1997,5707,25698,1480342,38105,2317,5724,30064,1552153,40708,2611,7226,30871,1628814,45170,3030,7964,34176,1691448,52827,3532,9513,39782,1761311,57749,4043,11053,42653,1821489,59929,5398,12548,41983,1883944,65202,6520,14135,44547,1955022,90848,7574,15572,67702,2026029,93773,8093,16349,69331,2089804,98963,8926,17428,72609,2156518,110065,10343,19523,80199,2224826,113959,10887,21452,81620,2293391,118781,12228,23413,83140,2360033,125931,13215,25195,87521,2421787,130727,13851,26663,90213,2484449
Faroe Islands,2,0,0,2,15,2,0,0,2,25,2,0,0,2,39,2,0,0,2,49,2,0,0,2,60,2,0,0,2,69,2,0,0,2,76,2,0,0,2,82,2,0,0,2,92,2,0,0,2,109,2,0,0,2,119,2,0,0,2,126,2,0,0,2,135,2,0,0,2,141,2,0,0,2,151,2,0,0,2,155,2,0,0,2,167,2,0,0,2,175,2,0,0,2,183,2,0,0,2,194,2,0,0,2,203,2,0,0,2,210,2,0,0,2,220,2,0,0,2,228,2,0,0,2,235,2,0,0,2,246,2,0,0,2,253,2,0,0,2,256,2,0,0,2,262,2,0,0,2,272,2,0,0,2,280,2,0,0,2,293,2,0,0,2,305,2,0,0,2,311,2,0,0,2,320
"Micronesia, Federated States of",0,0,0,0,18,0,0,0,0,40,0,0,0,0,79,0,0,0,0,114,0,0,0,0,131,0,0,0,0,151,0,0,0,0,162,0,0,0,0,178,0,0,0,0,189,0,0,0,0,203,0,0,0,0,214,0,0,0,0,229,0,0,0,0,243,0,0,0,0,254,0,0,0,0,269,0,0,0,0,279,0,0,0,0,286,0,0,0,0,294,0,0,0,0,299,0,0,0,0,307,0,0,0,0,314,0,0,0,0,331,0,0,0,0,344,0,0,0,0,354,0,0,0,0,365,0,0,0,0,368,0,0,0,0,378,0,0,0,0,388,0,0,0,0,393,0,0,0,0,397,0,0,0,0,408,0,0,0,0,421,0,0,0,0,429,0,0,0,0,435,0,0,0,0,448
Gabon,0,0,0,0,108,0,0,0,0,246,0,0,0,0,345,0,0,0,0,452,0,0,0,0,560,0,0,0,0,646,1,0,0,1,733,1,0,0,1,827,1,0,0,1,937,1,0,0,1,1070,1,0,0,1,1170,1,0,0,1,1280,3,1,0,2,1382,4,1,0,3,1520,5,1,0,4,1634,5,1,0,4,1740,6,1,0,5,1872,6,1,0,5,2035,7,1,0,6,2185,7,1,0,6,2324,7,1,0,6,2464,7,1,0,6,2572,7,1,0,6,2718,16,1,0,15,2890,18,1,0,17,3014,21,1,0,20,3159,21,1,1,19,3375,21,1,1,19,3525,21,1,1,19,3669,24,1,1,22,3798,30,1,1,28,3963,34,1,1,32,4175,44,1,1,42,4325,44,1,1,42,4489,46,1,1,44,4666
United Kingdom,0,0,0,0,20248,0,0,0,0,39585,1,0,0,1,59794,459,8,19,432,80569,459,8,19,432,99783,801,8,19,774,118013,1143,21,19,1103,137582,1144,21,19,1104,160093,1551,56,21,1474,181933,1960,56,53,1851,206096,2642,72,67,2503,228750,2716,138,67,2511,251729,4014,178,67,3769,275024,5067,234,67,4766,296380,5741,282,67,5392,319532,6726,336,140,6250,344495,8164,423,140,7601,367609,9640,466,140,9034,393763,11812,580,150,11082,418342,14745,761,151,13833,443987,17312,1021,151,16140,467952,19780,1231,151,18398,491930,22453,1411,171,20871,516332,25481,1793,179,23509,540771,29865,2357,179,27329,566638,34173,2926,192,31055,591979,38689,3611,208,34870,617926,42477,4320,215,37942,641452,48436,4943,229,43264,669862,52279,5385,287,46607,697160,55949,6171,325,49453,723879,61474,7111,345,54018,753188,65872,7993,359,57520,783735,74605,8974,588,65043,810087,79874,9892,622,69360,839839
